;DEP;REG;nom_commune;score_acces_interface_numerique_region;score_acces_interface_numerique_departement;score_competence_administratives_region;score_competence_administratives_departement
106;1;84;Confort;122.0;131.0;32.0;35.0
107;1;84;Confrançon;73.0;77.0;50.0;54.0
108;1;84;Contrevoz;118.0;126.0;36.0;39.0
109;1;84;Conzieu;61.0;65.0;33.0;35.0
110;1;84;Corbonod;114.0;121.0;34.0;37.0
111;1;84;Corlier;68.0;73.0;49.0;53.0
112;1;84;Cormaranche-en-Bugey;96.0;103.0;46.0;50.0
113;1;84;Cormoranche-sur-Saône;98.0;104.0;36.0;39.0
114;1;84;Cormoz;117.0;125.0;40.0;43.0
115;1;84;Corveissiat;90.0;96.0;44.0;48.0
116;1;84;Courmangoux;107.0;115.0;26.0;28.0
117;1;84;Courtes;103.0;109.0;50.0;54.0
118;1;84;Crans;123.0;131.0;37.0;40.0
119;1;84;Cras-sur-Reyssouze;71.0;76.0;39.0;42.0
120;1;84;Cressin-Rochefort;96.0;102.0;40.0;43.0
121;1;84;Crottet;96.0;103.0;38.0;42.0
122;1;84;Crozet;50.0;54.0;41.0;44.0
123;1;84;Cruzilles-lès-Mépillat;93.0;98.0;44.0;48.0
124;1;84;Culoz;120.0;126.0;45.0;49.0
125;1;84;Curciat-Dongalon;137.0;146.0;33.0;36.0
126;1;84;Curtafond;107.0;115.0;44.0;48.0
127;1;84;Cuzieu;110.0;118.0;41.0;44.0
128;1;84;Dagneux;75.0;80.0;51.0;55.0
129;1;84;Divonne-les-Bains;71.0;76.0;36.0;40.0
130;1;84;Dompierre-sur-Veyle;99.0;105.0;41.0;45.0
131;1;84;Dompierre-sur-Chalaronne;69.0;73.0;42.0;45.0
132;1;84;Domsure;118.0;125.0;39.0;42.0
133;1;84;Dortan;102.0;108.0;43.0;47.0
134;1;84;Douvres;69.0;74.0;39.0;43.0
135;1;84;Drom;62.0;66.0;46.0;50.0
136;1;84;Druillat;116.0;124.0;34.0;37.0
137;1;84;Échallon;84.0;90.0;32.0;35.0
138;1;84;Échenevex;46.0;50.0;33.0;36.0
139;1;84;Étrez;74.0;78.0;42.0;45.0
140;1;84;Évosges;103.0;109.0;31.0;34.0
141;1;84;Faramans;68.0;72.0;38.0;41.0
142;1;84;Fareins;93.0;100.0;41.0;44.0
143;1;84;Farges;64.0;68.0;41.0;45.0
144;1;84;Feillens;118.0;125.0;47.0;52.0
145;1;84;Ferney-Voltaire;67.0;71.0;50.0;54.0
146;1;84;Flaxieu;103.0;111.0;30.0;33.0
147;1;84;Foissiat;109.0;116.0;43.0;47.0
148;1;84;Francheleins;67.0;71.0;37.0;40.0
